file,name,bytes,mb,mb_lbl
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_pymc3_6-5-3-4__1.netcdf,2tier-hier_pymc3_6-5-3-4__1,10968434,10.968434,10 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_pymc3_6-5-3-4__10.netcdf,2tier-hier_pymc3_6-5-3-4__10,10660695,10.660695,10 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_pymc3_6-5-3-4__2.netcdf,2tier-hier_pymc3_6-5-3-4__2,10881850,10.88185,10 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_pymc3_6-5-3-4__3.netcdf,2tier-hier_pymc3_6-5-3-4__3,10941515,10.941515,10 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_pymc3_6-5-3-4__4.netcdf,2tier-hier_pymc3_6-5-3-4__4,11071731,11.071731,11 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_pymc3_6-5-3-4__5.netcdf,2tier-hier_pymc3_6-5-3-4__5,11282668,11.282668,11 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_pymc3_6-5-3-4__6.netcdf,2tier-hier_pymc3_6-5-3-4__6,10127196,10.127196,10 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_pymc3_6-5-3-4__7.netcdf,2tier-hier_pymc3_6-5-3-4__7,10393396,10.393396,10 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_pymc3_6-5-3-4__8.netcdf,2tier-hier_pymc3_6-5-3-4__8,11187963,11.187963,11 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_pymc3_6-5-3-4__9.netcdf,2tier-hier_pymc3_6-5-3-4__9,7518514,7.518514,7 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_10-10-5-5.pkl,2tier-hier_stan_10-10-5-5,4343652,4.343652,4 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_10-10-5-5__1.netcdf,2tier-hier_stan_10-10-5-5__1,3565624,3.565624,3 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_10-10-5-5__10.netcdf,2tier-hier_stan_10-10-5-5__10,3414354,3.414354,3 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_10-10-5-5__2.netcdf,2tier-hier_stan_10-10-5-5__2,3534768,3.534768,3 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_10-10-5-5__3.netcdf,2tier-hier_stan_10-10-5-5__3,3626096,3.626096,3 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_10-10-5-5__4.netcdf,2tier-hier_stan_10-10-5-5__4,3652205,3.652205,3 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_10-10-5-5__5.netcdf,2tier-hier_stan_10-10-5-5__5,3407467,3.407467,3 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_10-10-5-5__6.netcdf,2tier-hier_stan_10-10-5-5__6,3529449,3.529449,3 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_10-10-5-5__7.netcdf,2tier-hier_stan_10-10-5-5__7,3511938,3.511938,3 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_10-10-5-5__8.netcdf,2tier-hier_stan_10-10-5-5__8,3445679,3.445679,3 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_10-10-5-5__9.netcdf,2tier-hier_stan_10-10-5-5__9,3601626,3.601626,3 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_100-200-20-40.pkl,2tier-hier_stan_100-200-20-40,665946301,665.946301,665 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_100-200-20-40__1.netcdf,2tier-hier_stan_100-200-20-40__1,563075512,563.075512,563 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_100-200-20-40__10.netcdf,2tier-hier_stan_100-200-20-40__10,567889144,567.889144,567 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_100-200-20-40__2.netcdf,2tier-hier_stan_100-200-20-40__2,576191761,576.191761,576 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_100-200-20-40__3.netcdf,2tier-hier_stan_100-200-20-40__3,562726290,562.72629,562 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_100-200-20-40__4.netcdf,2tier-hier_stan_100-200-20-40__4,569608968,569.608968,569 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_100-200-20-40__5.netcdf,2tier-hier_stan_100-200-20-40__5,547925636,547.925636,547 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_100-200-20-40__6.netcdf,2tier-hier_stan_100-200-20-40__6,529861933,529.861933,529 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_100-200-20-40__7.netcdf,2tier-hier_stan_100-200-20-40__7,549863865,549.863865,549 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_100-200-20-40__8.netcdf,2tier-hier_stan_100-200-20-40__8,560705920,560.70592,560 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_100-200-20-40__9.netcdf,2tier-hier_stan_100-200-20-40__9,581066254,581.066254,581 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_20-15-10-12.pkl,2tier-hier_stan_20-15-10-12,13783868,13.783868,13 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_20-15-10-12__1.netcdf,2tier-hier_stan_20-15-10-12__1,11400111,11.400111,11 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_20-15-10-12__10.netcdf,2tier-hier_stan_20-15-10-12__10,11552673,11.552673,11 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_20-15-10-12__2.netcdf,2tier-hier_stan_20-15-10-12__2,11165310,11.16531,11 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_20-15-10-12__3.netcdf,2tier-hier_stan_20-15-10-12__3,11880037,11.880037,11 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_20-15-10-12__4.netcdf,2tier-hier_stan_20-15-10-12__4,11828980,11.82898,11 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_20-15-10-12__5.netcdf,2tier-hier_stan_20-15-10-12__5,11833633,11.833633,11 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_20-15-10-12__6.netcdf,2tier-hier_stan_20-15-10-12__6,12033081,12.033081,12 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_20-15-10-12__7.netcdf,2tier-hier_stan_20-15-10-12__7,10899431,10.899431,10 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_20-15-10-12__8.netcdf,2tier-hier_stan_20-15-10-12__8,11504862,11.504862,11 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_20-15-10-12__9.netcdf,2tier-hier_stan_20-15-10-12__9,11341082,11.341082,11 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_6-5-3-4.pkl,2tier-hier_stan_6-5-3-4,1687556,1.687556,1 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_6-5-3-4__1.netcdf,2tier-hier_stan_6-5-3-4__1,1290721,1.290721,1 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_6-5-3-4__10.netcdf,2tier-hier_stan_6-5-3-4__10,1330480,1.33048,1 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_6-5-3-4__2.netcdf,2tier-hier_stan_6-5-3-4__2,1356666,1.356666,1 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_6-5-3-4__3.netcdf,2tier-hier_stan_6-5-3-4__3,1351527,1.351527,1 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_6-5-3-4__4.netcdf,2tier-hier_stan_6-5-3-4__4,1375166,1.375166,1 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_6-5-3-4__5.netcdf,2tier-hier_stan_6-5-3-4__5,1321912,1.321912,1 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_6-5-3-4__6.netcdf,2tier-hier_stan_6-5-3-4__6,1422013,1.422013,1 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_6-5-3-4__7.netcdf,2tier-hier_stan_6-5-3-4__7,1382021,1.382021,1 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_6-5-3-4__8.netcdf,2tier-hier_stan_6-5-3-4__8,1390185,1.390185,1 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_stan_6-5-3-4__9.netcdf,2tier-hier_stan_6-5-3-4__9,1377696,1.377696,1 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10-2.pkl,hierarchical_pymc3_10-10-2,5059821,5.059821,5 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10-2__1.netcdf,hierarchical_pymc3_10-10-2__1,4070050,4.07005,4 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10-2__10.netcdf,hierarchical_pymc3_10-10-2__10,4275669,4.275669,4 MB
